date,day_of_year,daily_lai
2019-01-01,1,0
2019-01-02,2,0
2019-01-03,3,0
2019-01-04,4,0
2019-01-05,5,0
2019-01-06,6,0
2019-01-07,7,0
2019-01-08,8,0
2019-01-09,9,0
2019-01-10,10,0
2019-01-11,11,0
2019-01-12,12,0
2019-01-13,13,0
2019-01-14,14,0
2019-01-15,15,0
2019-01-16,16,0
2019-01-17,17,0
2019-01-18,18,0
2019-01-19,19,0
2019-01-20,20,0
2019-01-21,21,0
2019-01-22,22,0
2019-01-23,23,0
2019-01-24,24,0
2019-01-25,25,0
2019-01-26,26,0
2019-01-27,27,0
2019-01-28,28,0
2019-01-29,29,0
2019-01-30,30,0
2019-01-31,31,0
2019-02-01,32,0
2019-02-02,33,0
2019-02-03,34,0
2019-02-04,35,0
2019-02-05,36,0
2019-02-06,37,0
2019-02-07,38,0
2019-02-08,39,0
2019-02-09,40,0
2019-02-10,41,0
2019-02-11,42,0
2019-02-12,43,0
2019-02-13,44,0
2019-02-14,45,0
2019-02-15,46,0
2019-02-16,47,0
2019-02-17,48,0
2019-02-18,49,0
2019-02-19,50,0
2019-02-20,51,0
2019-02-21,52,0
2019-02-22,53,0
2019-02-23,54,0
2019-02-24,55,0
2019-02-25,56,0
2019-02-26,57,0
2019-02-27,58,0
2019-02-28,59,0
2019-03-01,60,0
2019-03-02,61,0
2019-03-03,62,0
2019-03-04,63,0
2019-03-05,64,0
2019-03-06,65,0
2019-03-07,66,0
2019-03-08,67,0
2019-03-09,68,0
2019-03-10,69,0
2019-03-11,70,0
2019-03-12,71,2.45
2019-03-13,72,2.8981489943206222
2019-03-14,73,3.3172796955687627
2019-03-15,74,3.6854326460538935
2019-03-16,75,3.991405645464387
2019-03-17,76,4.234222804655438
2019-03-18,77,4.419952858941985
2019-03-19,78,4.558054563904758
2019-03-20,79,4.658596570188269
2019-03-21,80,4.730674471597246
2019-03-22,81,4.781777595053422
2019-03-23,82,4.817725824374612
2019-03-24,83,4.842873758881319
2019-03-25,84,4.860398157735905
2019-03-26,85,4.87257710479951
2019-03-27,86,4.881025223140712
2019-03-28,87,4.886877754987556
2019-03-29,88,4.890928501712091
2019-03-30,89,4.893730415041132
2019-03-31,90,4.895667668093269
2019-04-01,91,4.897006691138772
2019-04-02,92,4.8979320281178005
2019-04-03,93,4.8985713943631914
2019-04-04,94,4.899013124057995
2019-04-05,95,4.899318288444933
2019-04-06,96,4.899529098164052
2019-04-07,97,4.899674722267914
2019-04-08,98,4.899775314890661
2019-04-09,99,4.899844800080491
2019-04-10,100,4.9
2019-04-11,101,4.9
2019-04-12,102,4.9
2019-04-13,103,4.9
2019-04-14,104,4.9
2019-04-15,105,4.9
2019-04-16,106,4.9
2019-04-17,107,4.9
2019-04-18,108,4.9
2019-04-19,109,4.9
2019-04-20,110,4.9
2019-04-21,111,4.9
2019-04-22,112,4.9
2019-04-23,113,4.9
2019-04-24,114,4.9
2019-04-25,115,4.9
2019-04-26,116,4.9
2019-04-27,117,4.9
2019-04-28,118,4.9
2019-04-29,119,4.9
2019-04-30,120,4.9
2019-05-01,121,4.9
2019-05-02,122,4.9
2019-05-03,123,4.9
2019-05-04,124,4.9
2019-05-05,125,4.9
2019-05-06,126,4.9
2019-05-07,127,4.9
2019-05-08,128,4.9
2019-05-09,129,4.9
2019-05-10,130,4.9
2019-05-11,131,4.9
2019-05-12,132,4.9
2019-05-13,133,4.9
2019-05-14,134,4.9
2019-05-15,135,4.9
2019-05-16,136,4.9
2019-05-17,137,4.9
2019-05-18,138,4.9
2019-05-19,139,4.9
2019-05-20,140,4.9
2019-05-21,141,4.9
2019-05-22,142,4.9
2019-05-23,143,4.9
2019-05-24,144,4.9
2019-05-25,145,4.9
2019-05-26,146,4.9
2019-05-27,147,4.9
2019-05-28,148,4.9
2019-05-29,149,4.9
2019-05-30,150,4.9
2019-05-31,151,4.9
2019-06-01,152,4.9
2019-06-02,153,4.9
2019-06-03,154,4.9
2019-06-04,155,4.9
2019-06-05,156,4.9
2019-06-06,157,4.9
2019-06-07,158,4.9
2019-06-08,159,4.9
2019-06-09,160,4.9
2019-06-10,161,4.9
2019-06-11,162,4.9
2019-06-12,163,4.9
2019-06-13,164,4.9
2019-06-14,165,4.9
2019-06-15,166,4.9
2019-06-16,167,4.9
2019-06-17,168,4.9
2019-06-18,169,4.9
2019-06-19,170,4.9
2019-06-20,171,4.9
2019-06-21,172,4.9
2019-06-22,173,4.9
2019-06-23,174,4.9
2019-06-24,175,4.9
2019-06-25,176,4.9
2019-06-26,177,4.9
2019-06-27,178,4.9
2019-06-28,179,4.9
2019-06-29,180,4.9
2019-06-30,181,4.9
2019-07-01,182,4.9
2019-07-02,183,4.9
2019-07-03,184,4.9
2019-07-04,185,4.9
2019-07-05,186,4.9
2019-07-06,187,4.9
2019-07-07,188,4.9
2019-07-08,189,4.9
2019-07-09,190,4.9
2019-07-10,191,4.9
2019-07-11,192,4.9
2019-07-12,193,4.9
2019-07-13,194,4.9
2019-07-14,195,4.9
2019-07-15,196,4.9
2019-07-16,197,4.9
2019-07-17,198,4.9
2019-07-18,199,4.9
2019-07-19,200,4.9
2019-07-20,201,4.9
2019-07-21,202,4.9
2019-07-22,203,4.9
2019-07-23,204,4.9
2019-07-24,205,4.9
2019-07-25,206,4.9
2019-07-26,207,4.9
2019-07-27,208,4.9
2019-07-28,209,4.9
2019-07-29,210,4.9
2019-07-30,211,4.9
2019-07-31,212,4.9
2019-08-01,213,4.9
2019-08-02,214,4.9
2019-08-03,215,4.9
2019-08-04,216,4.9
2019-08-05,217,4.9
2019-08-06,218,4.9
2019-08-07,219,4.9
2019-08-08,220,4.9
2019-08-09,221,4.9
2019-08-10,222,4.9
