date,day_of_year,lai_max,lai_min,lai_daily
1/1/19,1,4.9,0,0
1/2/19,2,4.9,0,0
1/3/19,3,4.9,0,0
1/4/19,4,4.9,0,0
1/5/19,5,4.9,0,0
1/6/19,6,4.9,0,0
1/7/19,7,4.9,0,0
1/8/19,8,4.9,0,0
1/9/19,9,4.9,0,0
1/10/19,10,4.9,0,0
1/11/19,11,4.9,0,0
1/12/19,12,4.9,0,0
1/13/19,13,4.9,0,0
1/14/19,14,4.9,0,0
1/15/19,15,4.9,0,0
1/16/19,16,4.9,0,0
1/17/19,17,4.9,0,0
1/18/19,18,4.9,0,0
1/19/19,19,4.9,0,0
1/20/19,20,4.9,0,0
1/21/19,21,4.9,0,0
1/22/19,22,4.9,0,0
1/23/19,23,4.9,0,0
1/24/19,24,4.9,0,0
1/25/19,25,4.9,0,0
1/26/19,26,4.9,0,0
1/27/19,27,4.9,0,0
1/28/19,28,4.9,0,0
1/29/19,29,4.9,0,0
1/30/19,30,4.9,0,0
1/31/19,31,4.9,0,0
2/1/19,32,4.9,0,0
2/2/19,33,4.9,0,0
2/3/19,34,4.9,0,0
2/4/19,35,4.9,0,0
2/5/19,36,4.9,0,0
2/6/19,37,4.9,0,0
2/7/19,38,4.9,0,0
2/8/19,39,4.9,0,0
2/9/19,40,4.9,0,0
2/10/19,41,4.9,0,0
2/11/19,42,4.9,0,0
2/12/19,43,4.9,0,0
2/13/19,44,4.9,0,0
2/14/19,45,4.9,0,0
2/15/19,46,4.9,0,0
2/16/19,47,4.9,0,0
2/17/19,48,4.9,0,0
2/18/19,49,4.9,0,0
2/19/19,50,4.9,0,0
2/20/19,51,4.9,0,0
2/21/19,52,4.9,0,0
2/22/19,53,4.9,0,0
2/23/19,54,4.9,0,0
2/24/19,55,4.9,0,0
2/25/19,56,4.9,0,0
2/26/19,57,4.9,0,0
2/27/19,58,4.9,0,0
2/28/19,59,4.9,0,0
3/1/19,60,4.9,0,0
3/2/19,61,4.9,0,0
3/3/19,62,4.9,0,0
3/4/19,63,4.9,0,0
3/5/19,64,4.9,0,0
3/6/19,65,4.9,0,0
3/7/19,66,4.9,0,0
3/8/19,67,4.9,0,0
3/9/19,68,4.9,0,0
3/10/19,69,4.9,0,0
3/11/19,70,4.9,0,2.45
3/12/19,71,4.9,0,2.898148994
3/13/19,72,4.9,0,3.317279696
3/14/19,73,4.9,0,3.685432646
3/15/19,74,4.9,0,3.991405645
3/16/19,75,4.9,0,4.234222805
3/17/19,76,4.9,0,4.419952859
3/18/19,77,4.9,0,4.558054564
3/19/19,78,4.9,0,4.65859657
3/20/19,79,4.9,0,4.730674472
3/21/19,80,4.9,0,4.781777595
3/22/19,81,4.9,0,4.817725824
3/23/19,82,4.9,0,4.842873759
3/24/19,83,4.9,0,4.860398158
3/25/19,84,4.9,0,4.872577105
3/26/19,85,4.9,0,4.881025223
3/27/19,86,4.9,0,4.886877755
3/28/19,87,4.9,0,4.890928502
3/29/19,88,4.9,0,4.893730415
3/30/19,89,4.9,0,4.895667668
3/31/19,90,4.9,0,4.897006691
4/1/19,91,4.9,0,4.897932028
4/2/19,92,4.9,0,4.898571394
4/3/19,93,4.9,0,4.899013124
4/4/19,94,4.9,0,4.899318288
4/5/19,95,4.9,0,4.899529098
4/6/19,96,4.9,0,4.899674722
4/7/19,97,4.9,0,4.899775315
4/8/19,98,4.9,0,4.8998448
4/9/19,99,4.9,0,4.9
4/10/19,100,4.9,0,4.9
4/11/19,101,4.9,0,4.9
4/12/19,102,4.9,0,4.9
4/13/19,103,4.9,0,4.9
4/14/19,104,4.9,0,4.9
4/15/19,105,4.9,0,4.9
4/16/19,106,4.9,0,4.9
4/17/19,107,4.9,0,4.9
4/18/19,108,4.9,0,4.9
4/19/19,109,4.9,0,4.9
4/20/19,110,4.9,0,4.9
4/21/19,111,4.9,0,4.9
4/22/19,112,4.9,0,4.9
4/23/19,113,4.9,0,4.9
4/24/19,114,4.9,0,4.9
4/25/19,115,4.9,0,4.9
4/26/19,116,4.9,0,4.9
4/27/19,117,4.9,0,4.9
4/28/19,118,4.9,0,4.9
4/29/19,119,4.9,0,4.9
4/30/19,120,4.9,0,4.9
5/1/19,121,4.9,0,4.9
5/2/19,122,4.9,0,4.9
5/3/19,123,4.9,0,4.9
5/4/19,124,4.9,0,4.9
5/5/19,125,4.9,0,4.9
5/6/19,126,4.9,0,4.9
5/7/19,127,4.9,0,4.9
5/8/19,128,4.9,0,4.9
5/9/19,129,4.9,0,4.9
5/10/19,130,4.9,0,4.9
5/11/19,131,4.9,0,4.9
5/12/19,132,4.9,0,4.9
5/13/19,133,4.9,0,4.9
5/14/19,134,4.9,0,4.9
5/15/19,135,4.9,0,4.9
5/16/19,136,4.9,0,4.9
5/17/19,137,4.9,0,4.9
5/18/19,138,4.9,0,4.9
5/19/19,139,4.9,0,4.9
5/20/19,140,4.9,0,4.9
5/21/19,141,4.9,0,4.9
5/22/19,142,4.9,0,4.9
5/23/19,143,4.9,0,4.9
5/24/19,144,4.9,0,4.9
5/25/19,145,4.9,0,4.9
5/26/19,146,4.9,0,4.9
5/27/19,147,4.9,0,4.9
5/28/19,148,4.9,0,4.9
5/29/19,149,4.9,0,4.9
5/30/19,150,4.9,0,4.9
5/31/19,151,4.9,0,4.9
6/1/19,152,4.9,0,4.9
6/2/19,153,4.9,0,4.9
6/3/19,154,4.9,0,4.9
6/4/19,155,4.9,0,4.9
6/5/19,156,4.9,0,4.9
6/6/19,157,4.9,0,4.9
6/7/19,158,4.9,0,4.9
6/8/19,159,4.9,0,4.9
6/9/19,160,4.9,0,4.9
6/10/19,161,4.9,0,4.9
6/11/19,162,4.9,0,4.9
6/12/19,163,4.9,0,4.9
6/13/19,164,4.9,0,4.9
6/14/19,165,4.9,0,4.9
6/15/19,166,4.9,0,4.9
6/16/19,167,4.9,0,4.9
6/17/19,168,4.9,0,4.9
