"STATION","NAME","DATE","AWND","PGTM","PRCP","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT08"
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-01-01","1.12"," 0528","0.00",,"42","32","  180","  170","6.0","6.9",,"    1",,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-01-02","5.59"," 2049","0.01",,"47","32","  200","  190","13.0","18.1",,"    1",,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-01-03","16.55"," 2022","0.59",,"54","45","  170","  170","25.1","40.0","    1",,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-01-04","8.95"," 0230","0.18",,"48","43","  180","  170","19.9","28.0","    1",,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-01-05","2.91"," 1553","0.08",,"46","39","  170","  170","10.1","14.1",,"    1",,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-01-06","11.18"," 0115","0.31",,"49","34","  190","  180","36.0","52.1","    1",,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-01-07","8.95"," 0756","0.00",,"44","37","  190","  190","18.1","28.0",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-01-08","7.16"," 0013","0.16",,"43","37","  360","   10","15.0","19.9",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-01-09","5.82"," 2226","0.37",,"50","41","  170","  160","15.0","21.0",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-01-10","4.70"," 0104","0.09",,"52","44","  180","  180","14.1","19.9",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-01-11","3.58"," 1512","0.00",,"55","37","   10","   20","8.9","14.1",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-01-12","0.67"," 0919","0.00",,"49","34","  230","  210","6.0","8.9",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-01-13","1.12"," 2014","0.00",,"47","32","  350","  360","6.9","8.1",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-01-14","0.67"," 1454","0.00",,"41","31","   10","  230","6.9","11.0",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-01-15","0.67"," 0131","0.00",,"41","33","  180","   40","6.0","6.9",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-01-16","2.24"," 1709","0.08",,"48","31","   30","   30","10.1","14.1",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-01-17","9.84"," 1555","0.17",,"53","41","  180","  170","23.0","34.0",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-01-18","6.26"," 0136","0.77",,"50","43","  180","  180","21.9","28.0",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-01-19","7.38"," 1535","0.18",,"50","39","  220","  220","16.1","23.0",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-01-20","5.14"," 0820","0.00",,"46","35","   10","  360","14.1","19.9",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-01-21","2.01"," 2242","0.00",,"46","34","  190","  200","8.9","11.0",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-01-22","9.17"," 2253","0.76",,"47","40","  190","  200","28.0","40.0",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-01-23","6.93"," 0011","0.16",,"50","44","  190","  180","25.9","38.0",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-01-24","1.12"," 0041","0.03",,"48","38","  330","  230","6.9","8.9",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-01-25","3.36"," 1313","0.00",,"48","36","   10","  360","10.1","14.1",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-01-26","4.03"," 1608","0.00",,"47","36","  360","  350","12.1","16.1",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-01-27","4.92"," 2253","0.00",,"42","36","   10","   20","13.0","19.9",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-01-28","7.83"," 1940","0.00",,"49","38","   10","   10","16.1","21.0",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-01-29","4.47"," 0041","0.00",,"51","37","  360","   10","14.1","18.1",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-01-30","1.57"," 2050","0.00",,"48","32","  360","  360","6.9","10.1",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-01-31","2.91"," 1236","0.01",,"52","34","  210","  220","8.9","12.1",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-02-01","5.82"," 1554","0.52",,"49","43","  200","  190","15.0","19.9",,,,
"USW00094274","TACOMA NARROWS AIRPORT, WA US","2019-02-02","3.36"," 1626","0.01",,"48","36","   10","   10","13.0","15.0",,,,
