FID,Join_Count,TARGET_FID,FID_1,GEOID,PerOpSpc,OpSpcZSc,FoodScr,FodScZSc,TranRatScr,TranScZSc,VtPaZSc,IntAcZSc,AvgRdScr,AvRdZSc,AccComScr,AvgNuiScr,AvNuZSc,AvgCrScr,AvCrZSc,UTCScr,UTCZSc,MedHmVa,MeHmVZSc,LifExRts,LifZSc,CosBuZSc,LivComScr,GradRt,GrdRtZSc,AvgStMoRt,StuMoZSc,AvgTestPer,TesZSc,PerBacMo,BaAtZSc,EduComScr,JobScrRts,JobZSc,UmRt,UnRtZSc,PerStrg,StugZSc,MedHHInc,MeHHInZSc,EmpComScr,OverComSc,AccIndCls,LivIndCls,EduIndCls,EcoIndCls,OveIndCls,SHAPE_Leng,SHAPE_Area,Id,Input_FID,Export_Out,Export_O_1,Export_O_2,Export_O_3,Export_O_4,Export_O_5,Export_O_6,Export_O_7,Export_O_8,Export_O_9,Export__10,Export__11
13,1,13,14,530530602001,0.2571624108,-1.41347163,0.8007016274,-0.7331972782,1.337484339,-0.04543284432,0.1372386771,0.2816793541,27.3731724,-1.035691332,-0.4681458423,96.593,0.9804160262,162.43,0.9035055711,0.04,-1.211349044,370800,1.440329618,85.47,1.78704631,1.102291472,0.8337066589,88.15663312,0.1026234228,8.50571,0.5790001,40.2303,-0.2768358267,36.57745337,0.5879708218,0.2481896295,30.39018405,3,13.25153374,-0.9588995452,51.76470588,-0.9818480015,82273,1.026928245,0.5215451746,0.2838239052,Very Low,Very High,High,High,High,95085.91497,33876914.52,0,7,7,tacoma_alexander_outside,"east alexander ave, lincoln ave",active,09_18_2018,na,1,pa_ii,"temp, humidity, pressure",a and b functional,47.26569,-122.38529
193,1,193,194,530530603001,1.230427027,1.04951176,0.1618053988,-1.378825775,0.3379279477,-0.4435706922,1.128235841,0.798994526,19.27920232,-1.669072304,-0.08578777404,46.4925,1.038482613,81.152,0.9987650235,0.64,3,352900,1.252618707,82.36,0.97058951,-0.4515161356,1.134823286,96.16851506,1.330579944,6.5133,1.289321427,57.9499,1.152729736,46.15384615,1.218579056,1.247802541,1.643031785,-0.07828188708,3.422982885,0.7457213601,15.10966694,1.095239997,66298,0.3331202811,0.5239499378,0.7051969977,Low,Very High,Very High,High,Very High,16944.64805,8477290.981,0,0,0,north_lexington_outside,"north lexington st, north 46th st",active,11_20_2018,na,0.48,pa_ii_sd,"temp, humidity, pressure",a and b functional,47.2907,-122.524442
109,1,109,110,530530603002,1.249093026,1.096748703,0.6131105081,-0.9227651093,0.5252681597,-0.3689503611,0.4720908511,1.149367352,30.91479033,-0.7585475591,0.1113239794,510.35,0.5008707748,245.404,0.8062583725,0.14,-0.4815300549,275900,0.4451471885,82.36,0.97058951,-0.2670326902,0.3290505168,96.16612911,1.330214257,5.54076,1.636045195,61.913,1.472461067,34.62749213,0.4595653106,1.224571457,1.305352798,-0.1284977139,5.231143552,0.4321218765,35.45454545,-0.05761869997,85714,1.176373829,0.3555948229,0.5051351941,High,High,Very High,High,High,8573.206536,2109139.265,0,2,2,psu_star_lab_baltimore_park_outside,north 43rd st and north baltimore st,active,04_11_2018,na,0.07,pa_ii_sd,"temp, humidity, pressure","a downgraded, b functional",47.288002,-122.508332
110,1,110,111,530530603003,1.049317017,0.5911873349,0.5266138153,-1.010173247,1.609317566,0.06284228348,0.6434066816,0.009625160096,24.23160267,-1.281529958,-0.1641069576,208.603,0.8505961957,414.779,0.6077474622,0.14,-0.4815300549,246800,0.1399858744,82.36,0.97058951,0.03195304822,0.3532236726,96.16847204,1.330573349,6.51228,1.289685071,57.9481,1.152584518,37.71251932,0.6627152431,1.108889545,0.5035532995,-0.2477323312,4.974619289,0.4766123236,25.76368876,0.4915220141,63553,0.2139025747,0.2335761453,0.3828956014,Low,High,Very High,High,High,6129.947541,1736243.5,0,0,0,north_lexington_outside,"north lexington st, north 46th st",active,11_20_2018,na,0.48,pa_ii_sd,"temp, humidity, pressure",a and b functional,47.2907,-122.524442
126,1,126,127,530530604001,1.254583746,1.110643746,0.5221078871,-1.014726656,0.5246939348,-0.3691790833,1.230285424,1.2421131,39.65182011,-0.07484495727,0.3540485954,371.091,0.6622722548,185.242,0.8767694478,0.48,1.999854509,578500,3,85.27,1.734541049,0.515027446,1.464744118,95.03008914,1.156096902,5.67771,1.587220653,69.4499,2.080516141,76.51515152,3,1.955958424,0.3453815261,-0.2712538611,4.819277108,0.5035541925,13.73913043,1.172899961,126667,2.954997775,1.090049517,1.216200164,Very High,Very High,Very High,Very High,Very High,9629.944686,2302446.173,0,2,2,psu_star_lab_baltimore_park_outside,north 43rd st and north baltimore st,active,04_11_2018,na,0.07,pa_ii_sd,"temp, humidity, pressure","a downgraded, b functional",47.288002,-122.508332
127,1,127,128,530530604002,1.064666986,0.6300325973,2.159308035,0.6397252303,1.872395849,0.1676301894,1.306443721,1.137001252,41.67942096,0.08382177695,0.6607757945,685.885,0.2974253329,614.735,0.3733950043,0.27,0.4672346314,336600,1.081686424,85.27,1.734541049,1.307964455,0.8770411495,95.46800041,1.223214216,5.38148,1.692830687,68.1219,1.97337698,65.18282989,2.471643138,1.840266255,0.3696682464,-0.2676422128,6.398104265,0.2297293106,9.685230024,1.402619958,96776,1.656805985,0.7553782602,1.033365365,Very High,Very High,Very High,Very High,Very High,3865.445851,735559,0,4,4,psu_star_lab_tacoma_jefferson_outside,"north mason ave, north 16th st",active,02_08_2018,na,0.34,pa_ii_sd,"temp, humidity, pressure","a functional, b downgraded",47.264218,-122.495192
112,1,112,113,530530604003,0.2210090011,-1.504962933,1.425859996,-0.101451402,1.192843809,-0.1030452711,0.8059518608,0.003442110233,39.37837134,-0.0962432632,-0.166051483,954.595,-0.01401013409,401.193,0.6236705278,0.17,-0.262584358,245000,0.1211099168,85.27,1.734541049,0.9866528979,0.5315633166,95.96554422,1.299471227,5.38738,1.690727256,64.4456,1.676783836,42.68907563,0.9904229153,1.414351309,0.01590909091,-0.3202493017,6.363636364,0.2357072728,19.52141058,0.845246017,71563,0.5617837509,0.3306219348,0.5276212693,Low,High,Very High,High,Very High,3603.098272,793625,0,2,2,psu_star_lab_baltimore_park_outside,north 43rd st and north baltimore st,active,04_11_2018,na,0.07,pa_ii_sd,"temp, humidity, pressure","a downgraded, b functional",47.288002,-122.508332
111,1,111,112,530530604004,0.9335181941,0.2981420797,0.865665335,-0.6675490258,0.9878651601,-0.184691248,0.935039483,0.009625160096,44.71116623,0.3210662621,0.1186054518,606.73,0.3891661478,330.44,0.7065944683,0.2,-0.04363866122,301900,0.717799909,85.27,1.734541049,1.787470532,0.8819889075,95.74219894,1.265239783,5.11217,1.788843373,69.4501,2.080532276,43.02176697,1.012330736,1.536736542,0.1365638767,-0.3023068769,3.817914831,0.6772260894,15.32175689,1.083220005,101111,1.845078757,0.8258044936,0.8407838487,High,Very High,Very High,Very High,Very High,4076.780674,741118.5,0,2,2,psu_star_lab_baltimore_park_outside,north 43rd st and north baltimore st,active,04_11_2018,na,0.07,pa_ii_sd,"temp, humidity, pressure","a downgraded, b functional",47.288002,-122.508332
113,1,113,114,530530604005,1.157965004,0.8661363915,0.6924903765,-0.8425487881,1.175521283,-0.109945085,0.8807905265,1.112269052,42.64845592,0.159652092,0.3443923649,520.515,0.489089518,350.283,0.6833380728,0.19,-0.1166205602,266500,0.3465727434,85.27,1.734541049,1.065543777,0.7004107666,95.73320007,1.263860553,5.11868,1.786522469,69.4496,2.080491938,37.84977909,0.6717538385,1.4506572,0.06554307116,-0.3128682935,4.494382022,0.5599025763,6.925880923,1.558979988,83611,1.085038734,0.7227632511,0.8045558956,Very High,Very High,Very High,Very High,Very High,4904.987597,922682,0,2,2,psu_star_lab_baltimore_park_outside,north 43rd st and north baltimore st,active,04_11_2018,na,0.07,pa_ii_sd,"temp, humidity, pressure","a downgraded, b functional",47.288002,-122.508332
114,1,114,115,530530605001,1.277565002,1.168801056,1.434430521,-0.0927905667,1.207043566,-0.09738930117,1.419678477,1.442031712,38.30589879,-0.1801679254,0.610027242,258.768,0.792454853,225.878,0.8291432376,0.4,1.415999318,472300,2.504723893,84.04,1.411633698,0.9672750798,1.320205013,94.98536176,1.149241673,6.19737,1.401954779,66.218,1.81977589,55.44117647,1.830152443,1.550281196,1.181640625,-0.146894799,3.7109375,0.6957797702,5.46875,1.641549945,118000,2.578582525,1.19225436,1.168191953,Very High,Very High,Very High,Very High,Very High,7410.271052,1722856.157,0,4,4,psu_star_lab_tacoma_jefferson_outside,"north mason ave, north 16th st",active,02_08_2018,na,0.34,pa_ii_sd,"temp, humidity, pressure","a functional, b downgraded",47.264218,-122.495192
