census_block_groups,land_area_m2,utc_percent,pct_d,pct_e,utc_pct_d,utc_pct_e,utc_land,utc_d,utc_e
53-053-940011-3,728434.8,0.3573,0.76,0.24,0.271548,0.085752,260269.75404000003,197805.01307040002,62464.7409696
53-053-940011-2,1080511.62,0.3106,0.76,0.24,0.236056,0.074544,335606.909172,255061.25097072002,80545.65820128
53-053-940011-1,1906071.06,0.5556,0.76,0.24,0.42225599999999996,0.133344,1059013.080936,804849.94151136,254163.13942464
53-053-940008-3,971246.4,0.2652,0.76,0.24,0.201552,0.063648,257574.54528,195756.6544128,61817.890867199996
53-053-940008-2,712247.36,0.2259,0.76,0.24,0.171684,0.05421599999999999,160896.678624,122281.47575423999,38615.202869759996
53-053-940008-1,1351651.24,0.2787,0.76,0.24,0.211812,0.066888,376705.200588,286295.95244688,90409.24814112
53-053-940007-3,687966.2000000001,0.3699,0.76,0.24,0.281124,0.088776,254478.69738000003,193403.81000880004,61074.887371200006
53-053-940007-2,1052183.6,0.2667,0.76,0.24,0.20269199999999998,0.064008,280617.36612,213269.19825120002,67348.1678688
53-053-940007-1,586794.7000000001,0.1917,0.76,0.24,0.14569200000000002,0.046008,112488.54399000002,85491.29343240002,26997.250557600004
53-053-940006-2,1416401,0.4786,0.76,0.24,0.363736,0.11486400000000001,677889.5186000001,515196.03413600003,162693.484464
53-053-940006-1,400639.14,0.3861,0.76,0.24,0.29343600000000003,0.092664,154686.771954,117561.94668503999,37124.82526896
53-053-940005-3,857934.3200000001,0.1485,0.76,0.24,0.11286,0.03564,127403.24652,96826.4673552,30576.7791648
53-053-940005-2,1800852.7,0.4273,0.76,0.24,0.32474800000000004,0.102552,769504.3587100001,584823.3126196001,184681.04609040002
53-053-940005-1,1594462.84,0.4955,0.76,0.24,0.37658,0.11892,790056.33722,600442.8162872,189613.5209328
53-053-940004-5,36421.74,0.6614,0.76,0.24,0.502664,0.158736,24089.338836,18307.89751536,5781.4413206399995
53-053-940004-4,129499.52,0.8707,0.76,0.24,0.661732,0.208968,112755.23206400001,85693.97636864001,27061.255695360003
53-053-940004-2,4046.86,0.1053,0.76,0.24,0.080028,0.025272,426.134358,323.86211208000003,102.27224592
53-053-940002-3,165921.26,0.3256,0.76,0.24,0.247456,0.07814399999999999,54023.962256000006,41058.21131456001,12965.750941440001
53-053-940002-2,2832802,0.0266,0.76,0.24,0.020215999999999998,0.006383999999999999,75352.53319999999,57267.925231999994,18084.607967999997
53-053-940002-1,299467.64,0.5091,0.76,0.24,0.386916,0.122184,152458.975524,115868.82139824,36590.154125760004
53-053-940001-2,68796.62,0.2471,0.76,0.24,0.187796,0.059303999999999996,16999.644802,12919.73004952,4079.9147524799996
53-053-940001-1,384451.7,0.5052,0.76,0.24,0.383952,0.121248,194224.99884,147610.99911839998,46613.9997216
53-053-072313-1,20234.3,0.0378,0.76,0.24,0.028728,0.009072,764.85654,581.2909704,183.5655696
53-053-072312-3,222577.30000000002,0.2357,0.76,0.24,0.17913199999999999,0.05656799999999999,52461.46961,39870.7169036,12590.752706399999
53-053-072312-2,8093.72,0.0519,0.76,0.24,0.039444,0.012456,420.064068,319.24869168000004,100.81537632
53-053-072312-1,12140.58,0.7045,0.76,0.24,0.53542,0.16908,8553.03861,6500.3093436,2052.7292663999997
53-053-072311-1,12140.58,0.1327,0.76,0.24,0.10085200000000001,0.031848,1611.0549660000001,1224.40177416,386.65319184000003
53-053-072310-1,36421.74,0.1318,0.76,0.24,0.10016800000000001,0.031632,4800.385332,3648.29285232,1152.09247968
53-053-072309-4,141640.1,0.2147,0.76,0.24,0.163172,0.051528,30410.12947,23111.6983972,7298.4310728
53-053-072309-3,186155.56,0.5101,0.76,0.24,0.387676,0.12242399999999999,94957.951156,72168.04287856,22789.908277439998
53-053-072309-2,24281.16,0.4642,0.76,0.24,0.352792,0.111408,11271.314472,8566.19899872,2705.11547328
53-053-072309-1,8093.72,0.2849,0.76,0.24,0.216524,0.06837599999999999,2305.900828,1752.4846292799998,553.4161987199999
53-053-072305-4,190202.42,0.7875,0.76,0.24,0.5985,0.189,149784.40575,113836.14837000001,35948.25738
53-053-072305-3,0,0,0.76,0.24,0,0,0,0,0
53-053-072305-2,0,0,0.76,0.24,0,0,0,0,0
53-053-072305-1,0,0.0435,0.76,0.24,0.03306,0.01044,0,0,0
53-053-071808-1,8093.72,0.0536,0.76,0.24,0.040736,0.012864,433.823392,329.70577792,104.11761408
53-053-071803-2,582747.84,0.2571,0.76,0.24,0.195396,0.061703999999999995,149824.46966399997,113866.59694463998,35957.87271935999
53-053-071705-3,8093.72,0.1005,0.76,0.24,0.07638,0.02412,813.4188600000001,618.1983336000001,195.2205264
53-053-071705-1,56656.04,0.1,0.76,0.24,0.07600000000000001,0.024,5665.604,4305.85904,1359.74496
53-053-071704-1,4046.86,0.0164,0.76,0.24,0.012464000000000001,0.003936,66.368504,50.44006304,15.92844096
53-053-071703-2,52609.18,0.2896,0.76,0.24,0.22009600000000001,0.069504,15235.618528,11579.07008128,3656.54844672
53-053-071703-1,311608.22000000003,0.0967,0.76,0.24,0.073492,0.023208,30132.514874,22900.71130424,7231.80356976
53-053-071602-3,4046.86,0.0748,0.76,0.24,0.056848,0.017952,302.70512800000006,230.05589728000004,72.64923072
53-053-071601-2,20234.3,0.1197,0.76,0.24,0.090972,0.028728,2422.04571,1840.7547396,581.2909704
53-053-071601-1,89030.92,0.0492,0.76,0.24,0.037392,0.011807999999999999,4380.321264,3329.04416064,1051.27710336
53-053-063502-3,687966.2000000001,0.1876,0.76,0.24,0.14257599999999998,0.045023999999999995,129062.45912,98087.4689312,30974.9901888
53-053-063502-2,914590.36,0.1584,0.76,0.24,0.120384,0.038016,144871.11302400002,110102.04589824002,34769.067125760004
53-053-063502-1,323748.8,0.1557,0.76,0.24,0.118332,0.037368,50407.68816,38309.8430016,12097.8451584
53-053-063501-4,457295.18,0.0824,0.76,0.24,0.062624,0.019776,37681.122832,28637.65335232,9043.46947968
53-053-063501-3,489670.06,0.1609,0.76,0.24,0.12228399999999999,0.038616,78787.912654,59878.81361704,18909.09903696
53-053-063501-2,651544.46,0.1476,0.76,0.24,0.11217600000000001,0.035424000000000004,96167.962296,73087.65134496,23080.31095104
53-053-063501-1,323748.8,0.1527,0.76,0.24,0.116052,0.036648,49436.44176,37571.6957376,11864.7460224
53-053-063400-6,319701.94,0.1525,0.76,0.24,0.1159,0.0366,48754.54585,37053.454846,11701.091004
53-053-063400-5,481576.34,0.1148,0.76,0.24,0.087248,0.027552,55284.963832,42016.57251232,13268.39131968
53-053-063400-4,481576.34,0.1964,0.76,0.24,0.149264,0.047136,94581.593176,71882.01081376,22699.58236224
53-053-063400-3,651544.46,0.1491,0.76,0.24,0.11331600000000001,0.035784,97145.278986,73830.41202936,23314.86695664
53-053-063400-2,955058.9600000001,0.2626,0.76,0.24,0.199576,0.063024,250798.48289600003,190606.84700096003,60191.63589504
53-053-063400-1,963152.68,0.3228,0.76,0.24,0.245328,0.07747199999999999,310905.685104,236288.32067903999,74617.36442495999
53-053-063300-5,453248.32,0.1555,0.76,0.24,0.11818000000000001,0.03732,70480.11376000001,53564.886457600005,16915.227302400002
53-053-063300-4,465388.9,0.0918,0.76,0.24,0.06976800000000001,0.022032,42722.70102000001,32469.252775200006,10253.448244800002
53-053-063300-3,578700.98,0.15,0.76,0.24,0.11399999999999999,0.036,86805.147,65971.91172,20833.235279999997
53-053-063300-2,1096699.06,0.1952,0.76,0.24,0.148352,0.046848,214075.65651200002,162697.49894912002,51378.15756288
53-053-063300-1,740575.38,0.4049,0.76,0.24,0.307724,0.097176,299858.971362,227892.81823511998,71966.15312687999
53-053-063200-5,279233.34,0.1283,0.76,0.24,0.097508,0.030792,35825.637522000005,27227.484516720004,8598.15300528
53-053-063200-4,380404.84,0.1358,0.76,0.24,0.10320800000000001,0.032592,51658.977272000004,39260.822726720005,12398.15454528
53-053-063200-3,424920.3,0.1233,0.76,0.24,0.093708,0.029592,52392.67299,39818.4314724,12574.2415176
53-053-063200-2,683919.34,0.1755,0.76,0.24,0.13338,0.04212,120027.84416999998,91221.16156919999,28806.682600799995
53-053-063200-1,590841.56,0.1465,0.76,0.24,0.11134,0.03516,86558.28854000001,65784.29929040001,20773.989249600003
53-053-063100-4,1072417.9000000001,0.2982,0.76,0.24,0.22663200000000003,0.071568,319795.01778000005,243044.21351280005,76750.80426720002
53-053-063100-3,327795.66000000003,0.1328,0.76,0.24,0.100928,0.031872,43531.26364800001,33083.76037248001,10447.50327552
53-053-063100-2,566560.4,0.1131,0.76,0.24,0.085956,0.027144,64077.98124000001,48699.265742400006,15378.715497600002
53-053-063100-1,400639.14,0.1155,0.76,0.24,0.08778000000000001,0.02772,46273.82067,35168.103709200004,11105.7169608
53-053-063000-2,1327370.08,0.1247,0.76,0.24,0.09477200000000001,0.029928,165523.04897600002,125797.51722176002,39725.53175424
53-053-063000-1,878168.62,0.355,0.76,0.24,0.2698,0.0852,311749.8601,236929.893676,74819.966424
53-053-062900-6,797231.42,0.2054,0.76,0.24,0.156104,0.049296,163751.333668,124451.01358768,39300.32008032
53-053-062900-5,384451.7,0.0716,0.76,0.24,0.054416,0.017183999999999998,27526.741719999998,20920.323707199997,6606.418012799999
53-053-062900-4,441107.74,0.1064,0.76,0.24,0.08086399999999999,0.025535999999999996,46933.863536,35669.73628736,11264.12724864
53-053-062900-3,392545.42,0.1061,0.76,0.24,0.080636,0.025464,41649.069061999995,31653.292487119998,9995.77657488
53-053-062900-2,586794.7000000001,0.3207,0.76,0.24,0.243732,0.076968,188185.06029000002,143020.6458204,45164.4144696
53-053-062900-1,376357.98000000004,0.1251,0.76,0.24,0.095076,0.030023999999999995,47082.383298,35782.61130648,11299.77199152
53-053-062802-3,1092652.2,0.1135,0.76,0.24,0.08626,0.02724,124016.0247,94252.178772,29763.845928
53-053-062802-2,1076464.76,0.0888,0.76,0.24,0.067488,0.021312,95590.070688,72648.45372288,22941.61696512
53-053-062802-1,785090.84,0.2222,0.76,0.24,0.16887200000000002,0.053328,174447.184648,132579.86033248,41867.324315519996
53-053-062801-4,675825.62,0.189,0.76,0.24,0.14364,0.04536,127731.04218,97075.5920568,30655.4501232
53-053-062801-3,1756337.24,0.1348,0.76,0.24,0.102448,0.032352,236754.259952,179933.23756352,56821.02238848
53-053-062801-2,647497.6,0.3742,0.76,0.24,0.284392,0.08980799999999999,242293.60192,184143.1374592,58150.464460799994
53-053-062801-1,671778.76,0.1637,0.76,0.24,0.12441200000000001,0.039288000000000003,109970.18301200001,83577.33908912001,26392.84392288
53-053-062600-2,2585943.54,0.0922,0.76,0.24,0.07007200000000001,0.022128000000000002,238423.99438800002,181202.23573488003,57221.75865312
53-053-062600-1,4354421.36,0.088,0.76,0.24,0.06688,0.021119999999999996,383189.07968,291223.7005568,91965.37912320001
53-053-062500-7,449201.46,0.1366,0.76,0.24,0.103816,0.032784,61360.919436000004,46634.29877136,14726.62066464
53-053-062500-6,388498.56,0.1227,0.76,0.24,0.093252,0.029448,47668.773312,36228.26771712,11440.505594879998
53-053-062500-5,586794.7000000001,0.1174,0.76,0.24,0.089224,0.028176,68889.69778000002,52356.170312800015,16533.527467200005
53-053-062500-4,319701.94,0.1093,0.76,0.24,0.083068,0.026232,34943.422042,26557.00075192,8386.42129008
53-053-062500-3,327795.66000000003,0.1291,0.76,0.24,0.098116,0.030983999999999998,42318.419706,32161.99897656,10156.42072944
53-053-062500-2,416826.58,0.1538,0.76,0.24,0.11688799999999999,0.03691199999999999,64107.928004,48722.02528304,15385.902720959999
53-053-062500-1,412779.72000000003,0.1485,0.76,0.24,0.11286,0.03564,61297.788420000004,46586.31919920001,14711.4692208
53-053-062400-5,311608.22000000003,0.1494,0.76,0.24,0.113544,0.035856,46554.268068000005,35381.243731680006,11173.02433632
53-053-062400-4,433014.02,0.1461,0.76,0.24,0.11103600000000001,0.035064,63263.348322000005,48080.144724720005,15183.20359728
53-053-062400-3,360170.54000000004,0.0959,0.76,0.24,0.072884,0.023015999999999998,34540.354786,26250.669637360003,8289.685148640001
53-053-062400-2,424920.3,0.1724,0.76,0.24,0.131024,0.041375999999999996,73256.25972,55674.7573872,17581.5023328
53-053-062400-1,732481.66,0.1994,0.76,0.24,0.15154399999999998,0.047855999999999996,146056.843004,111003.20068303999,35053.642320959996
53-053-062300-4,562513.54,0.1229,0.76,0.24,0.093404,0.029495999999999998,69132.914066,52541.01469016,16591.89937584
53-053-062300-3,558466.68,0.1665,0.76,0.24,0.12654,0.03996,92984.70222,70668.3736872,22316.328532800002
53-053-062300-2,663685.04,0.1679,0.76,0.24,0.127604,0.040296,111432.71821600001,84688.86584416001,26743.85237184
53-053-062300-1,667731.9,0.1799,0.76,0.24,0.136724,0.043176,120124.96881,91294.9762956,28829.9925144
53-053-062000-4,821512.5800000001,0.2469,0.76,0.24,0.187644,0.059256,202831.45600200002,154151.90656152,48679.549440480005
53-053-062000-3,291373.92,0.1099,0.76,0.24,0.083524,0.026376,32021.993808,24336.71529408,7685.27851392
53-053-062000-2,623216.4400000001,0.1604,0.76,0.24,0.121904,0.038495999999999996,99963.91697600001,75972.57690176001,23991.34007424
53-053-062000-1,360170.54000000004,0.1958,0.76,0.24,0.148808,0.046992,70521.391732,53596.257716320004,16925.13401568
53-053-061900-2,598935.28,0.1555,0.76,0.24,0.11818000000000001,0.03732,93134.43604,70782.1713904,22352.264649599998
53-053-061900-1,441107.74,0.2104,0.76,0.24,0.15990400000000002,0.050496,92809.06849599999,70534.89205696,22274.17643904
53-053-061800-3,546326.1,0.0957,0.76,0.24,0.07273199999999999,0.022968,52283.40776999999,39735.38990519999,12548.017864799996
53-053-061800-2,275186.48,0.1189,0.76,0.24,0.090364,0.028536,32719.672472,24866.951078719998,7852.72139328
53-053-061800-1,554419.8200000001,0.1244,0.76,0.24,0.094544,0.029855999999999997,68969.825608,52417.06746208,16552.75814592
53-053-061700-5,1181683.12,0.1689,0.76,0.24,0.128364,0.040535999999999996,199586.278968,151685.57201568,47900.70695232
53-053-061700-4,348029.96,0.1989,0.76,0.24,0.151164,0.047735999999999994,69223.159044,52609.60087344,16613.558170559998
53-053-061700-3,299467.64,0.1303,0.76,0.24,0.099028,0.031272,39020.633492,29655.681453920002,9364.95203808
53-053-061700-2,303514.5,0.1263,0.76,0.24,0.095988,0.030312,38333.881349999996,29133.749825999996,9200.131523999999
53-053-061700-1,501810.64,0.0946,0.76,0.24,0.071896,0.022704,47471.286544,36078.17777344,11393.10877056
53-053-061602-1,1056230.46,0.0652,0.76,0.24,0.049552,0.015648,68866.22599199999,52338.33175391999,16527.894238079996
53-053-061601-1,760809.68,0.064,0.76,0.24,0.04864,0.01536,48691.819520000005,37005.78283520001,11686.036684800001
53-053-061500-4,287327.06,0.1456,0.76,0.24,0.110656,0.034944,41834.819936,31794.46315136,10040.35678464
53-053-061500-3,242811.6,0.3465,0.76,0.24,0.26333999999999996,0.08315999999999998,84134.2194,63942.006744000006,20192.212656
53-053-061500-2,157827.54,0.0673,0.76,0.24,0.051148,0.016152,10621.793442,8072.56301592,2549.23042608
53-053-061500-1,481576.34,0.3115,0.76,0.24,0.23674,0.07476,150011.02991,114008.38273160001,36002.6471784
53-053-061400-3,465388.9,0.0979,0.76,0.24,0.074404,0.023496,45561.57331,34626.7957156,10934.777594399999
53-053-061400-2,258999.04,0.0655,0.76,0.24,0.049780000000000005,0.01572,16964.437120000002,12892.972211200002,4071.4649088000006
53-053-061400-1,206389.86000000002,0.1402,0.76,0.24,0.106552,0.033648,28935.858372,21991.25236272,6944.60600928
53-053-061300-6,242811.6,0.1416,0.76,0.24,0.107616,0.033984,34382.12256,26130.413145600003,8251.7094144
53-053-061300-5,420873.44,0.0905,0.76,0.24,0.06878,0.02172,38089.04632,28947.6752032,9141.371116799999
53-053-061300-4,230671.02000000002,0.1016,0.76,0.24,0.07721599999999999,0.024384,23436.175632000002,17811.49348032,5624.68215168
53-053-061300-3,190202.42,0.1253,0.76,0.24,0.095228,0.030071999999999998,23832.363226,18112.59605176,5719.76717424
53-053-061300-2,254952.18000000002,0.1516,0.76,0.24,0.11521600000000001,0.036384,38650.750488000005,29374.570370880003,9276.18011712
53-053-061300-1,238764.74000000002,0.1648,0.76,0.24,0.125248,0.039552,39348.429152000004,29904.806155520004,9443.62299648
53-053-061200-6,218530.44,0.1763,0.76,0.24,0.13398800000000002,0.042312,38526.916572,29280.456594720003,9246.45997728
53-053-061200-5,323748.8,0.2154,0.76,0.24,0.16370400000000002,0.051696,69735.49152,52998.9735552,16736.517964799998
53-053-061200-4,433014.02,0.1565,0.76,0.24,0.11894,0.037559999999999996,67766.69413,51502.687538800004,16264.006591200001
53-053-061200-3,271139.62,0.1512,0.76,0.24,0.114912,0.036288,40996.310544,31157.19601344,9839.11453056
53-053-061200-2,384451.7,0.1261,0.76,0.24,0.09583599999999999,0.030263999999999996,48479.35937,36844.3131212,11635.0462488
53-053-061200-1,258999.04,0.1796,0.76,0.24,0.136496,0.043104,46516.22758400001,35352.33296384,11163.894620160001
53-053-061100-7,578700.98,0.1399,0.76,0.24,0.106324,0.033575999999999995,80960.267102,61529.80299752,19430.464104479997
53-053-061100-6,534185.52,0.1997,0.76,0.24,0.151772,0.047928,106676.848344,81074.40474144,25602.443602559997
53-053-061100-5,728434.8,0.2681,0.76,0.24,0.203756,0.064344,195293.36988,148422.96110880002,46870.408771200004
53-053-061100-4,1586369.12,0.2883,0.76,0.24,0.219108,0.069192,457350.21729600005,347586.16514496005,109764.05215104001
53-053-061100-3,291373.92,0.2202,0.76,0.24,0.167352,0.052848,64160.537184,48762.008259840004,15398.52892416
53-053-061100-2,295420.78,0.1554,0.76,0.24,0.11810400000000001,0.037296,45908.38921200001,34890.375801120004,11018.013410880001
53-053-061100-1,352076.82,0.1697,0.76,0.24,0.128972,0.04072799999999999,59747.436354,45408.05162904,14339.384724959998
53-053-061002-4,372311.12,0.12,0.76,0.24,0.0912,0.0288,44677.3344,33954.774144,10722.560255999999
53-053-061002-3,639403.88,0.156,0.76,0.24,0.11856,0.03744,99747.00528,75807.7240128,23939.2812672
53-053-061002-2,1104792.78,0.2814,0.76,0.24,0.213864,0.067536,310888.688292,236275.40310191998,74613.28519007999
53-053-061002-1,866028.04,0.0825,0.76,0.24,0.0627,0.0198,71447.31330000001,54299.958108000006,17147.355192000003
53-053-061001-3,1610650.28,0.3353,0.76,0.24,0.254828,0.08047199999999999,540051.038884,410438.78955184005,129612.24933216
53-053-061001-2,728434.8,0.1189,0.76,0.24,0.090364,0.028536,86610.89772000001,65824.2822672,20786.6154528
53-053-061001-1,420873.44,0.1364,0.76,0.24,0.10366399999999999,0.032735999999999994,57407.137215999996,43629.42428416,13777.712931839998
53-053-060906-2,566560.4,0.132,0.76,0.24,0.10032,0.03168,74785.9728,56837.339328,17948.633472
53-053-060906-1,1007668.14,0.1103,0.76,0.24,0.083828,0.026472,111145.79584199999,84470.80483991999,26674.991002079998
53-053-060905-5,926730.9400000001,0.2779,0.76,0.24,0.21120399999999998,0.06669599999999999,257538.528226,195729.28145176,61809.24677424
53-053-060905-4,772950.26,0.142,0.76,0.24,0.10791999999999999,0.03407999999999999,109758.93692,83416.7920592,26342.144860799996
