Census Block Groups,Total Area (Acres),Land Area (Acres),UTC (Acres),UTC %
53-053-940011-3,180,180,64,36%
53-053-940011-2,267,267,83,31%
53-053-940011-1,471,471,262,56%
53-053-940008-3,240,240,64,27%
53-053-940008-2,176,176,40,23%
53-053-940008-1,338,334,93,28%
53-053-940007-3,170,170,63,37%
53-053-940007-2,266,260,69,27%
53-053-940007-1,145,145,28,19%
53-053-940006-2,350,350,167,48%
53-053-940006-1,99,99,38,39%
53-053-940005-3,212,212,31,15%
53-053-940005-2,445,445,190,43%
53-053-940005-1,395,394,195,50%
53-053-940004-5,9,9,6,66%
53-053-940004-4,32,32,28,87%
53-053-940004-2,1,1,0,11%
53-053-940002-3,41,41,13,33%
53-053-940002-2,702,700,19,3%
53-053-940002-1,77,74,38,51%
53-053-940001-2,17,17,4,25%
53-053-940001-1,95,95,48,51%
53-053-072313-1,5,5,0,4%
53-053-072312-3,55,55,13,24%
53-053-072312-2,2,2,0,5%
53-053-072312-1,3,3,2,70%
53-053-072311-1,3,3,0,13%
53-053-072310-1,9,9,1,13%
53-053-072309-4,35,35,8,21%
53-053-072309-3,46,46,24,51%
53-053-072309-2,6,6,3,46%
53-053-072309-1,2,2,0,28%
53-053-072305-4,47,47,37,79%
53-053-072305-3,0,0,0,0%
53-053-072305-2,0,0,0,0%
53-053-072305-1,0,0,0,4%
53-053-071808-1,2,2,0,5%
53-053-071803-2,145,144,37,26%
53-053-071705-3,2,2,0,10%
53-053-071705-1,14,14,1,10%
53-053-071704-1,1,1,0,2%
53-053-071703-2,13,13,4,29%
53-053-071703-1,77,77,7,10%
53-053-071602-3,1,1,0,7%
53-053-071601-2,5,5,1,12%
53-053-071601-1,22,22,1,5%
53-053-063502-3,173,170,32,19%
53-053-063502-2,226,226,36,16%
53-053-063502-1,80,80,12,16%
53-053-063501-4,113,113,9,8%
53-053-063501-3,121,121,19,16%
53-053-063501-2,161,161,24,15%
53-053-063501-1,80,80,12,15%
53-053-063400-6,79,79,12,15%
53-053-063400-5,119,119,14,11%
53-053-063400-4,119,119,23,20%
53-053-063400-3,161,161,24,15%
53-053-063400-2,236,236,62,26%
53-053-063400-1,238,238,77,32%
53-053-063300-5,112,112,17,16%
53-053-063300-4,115,115,11,9%
53-053-063300-3,143,143,21,15%
53-053-063300-2,271,271,53,20%
53-053-063300-1,183,183,74,40%
53-053-063200-5,69,69,9,13%
53-053-063200-4,94,94,13,14%
53-053-063200-3,105,105,13,12%
53-053-063200-2,169,169,30,18%
53-053-063200-1,146,146,21,15%
53-053-063100-4,285,265,79,30%
53-053-063100-3,81,81,11,13%
53-053-063100-2,140,140,16,11%
53-053-063100-1,99,99,11,12%
53-053-063000-2,328,328,41,12%
53-053-063000-1,217,217,77,35%
53-053-062900-6,197,197,40,21%
53-053-062900-5,95,95,7,7%
53-053-062900-4,109,109,12,11%
53-053-062900-3,97,97,10,11%
53-053-062900-2,145,145,47,32%
53-053-062900-1,93,93,12,13%
53-053-062802-3,270,270,31,11%
53-053-062802-2,273,266,24,9%
53-053-062802-1,194,194,43,22%
53-053-062801-4,169,167,32,19%
53-053-062801-3,436,434,58,13%
53-053-062801-2,160,160,60,37%
53-053-062801-1,169,166,27,16%
53-053-062600-2,639,639,59,9%
53-053-062600-1,"1,077","1,076",95,9%
