Census Block Groups,Total Area (Acres),Land Area (Acres),UTC (Acres),UTC %,Distribution of UTC %,Tacoma Percent Deciduous,Tacoma Percent Evergreen
53-053-940011-3,180,180,64,0.3573,0.0100,0.5063,0.4927
53-053-940011-2,267,267,83,0.3106,0.0129,0.5063,0.4927
53-053-940011-1,471,471,262,0.5556,0.0408,0.5063,0.4927
53-053-940008-3,240,240,64,0.2652,0.0099,0.5063,0.4927
53-053-940008-2,176,176,40,0.2259,0.0062,0.5063,0.4927
53-053-940008-1,338,334,93,0.2787,0.0145,0.5063,0.4927
53-053-940007-3,170,170,63,0.3699,0.0098,0.5063,0.4927
53-053-940007-2,266,260,69,0.2667,0.0108,0.5063,0.4927
53-053-940007-1,145,145,28,0.1917,0.0043,0.5063,0.4927
53-053-940006-2,350,350,167,0.4786,0.0261,0.5063,0.4927
53-053-940006-1,99,99,38,0.3861,0.0060,0.5063,0.4927
53-053-940005-3,212,212,31,0.1485,0.0049,0.5063,0.4927
53-053-940005-2,445,445,190,0.4273,0.0297,0.5063,0.4927
53-053-940005-1,395,394,195,0.4955,0.0305,0.5063,0.4927
53-053-940004-5,9,9,6,0.6614,0.0009,0.5063,0.4927
53-053-940004-4,32,32,28,0.8707,0.0044,0.5063,0.4927
53-053-940004-2,1,1,0,0.1053,0.0000,0.5063,0.4927
53-053-940002-3,41,41,13,0.3256,0.0021,0.5063,0.4927
53-053-940002-2,702,700,19,0.0266,0.0029,0.5063,0.4927
53-053-940002-1,77,74,38,0.5091,0.0059,0.5063,0.4927
53-053-940001-2,17,17,4,0.2471,0.0007,0.5063,0.4927
53-053-940001-1,95,95,48,0.5052,0.0075,0.5063,0.4927
53-053-072313-1,5,5,0,0.0378,0.0000,0.5063,0.4927
53-053-072312-3,55,55,13,0.2357,0.0020,0.5063,0.4927
53-053-072312-2,2,2,0,0.0519,0.0000,0.5063,0.4927
53-053-072312-1,3,3,2,0.7045,0.0003,0.5063,0.4927
53-053-072311-1,3,3,0,0.1327,0.0001,0.5063,0.4927
53-053-072310-1,9,9,1,0.1318,0.0002,0.5063,0.4927
53-053-072309-4,35,35,8,0.2147,0.0012,0.5063,0.4927
53-053-072309-3,46,46,24,0.5101,0.0037,0.5063,0.4927
53-053-072309-2,6,6,3,0.4642,0.0005,0.5063,0.4927
53-053-072309-1,2,2,0,0.2849,0.0001,0.5063,0.4927
53-053-072305-4,47,47,37,0.7875,0.0057,0.5063,0.4927
53-053-072305-3,0,0,0,0.0000,0.0000,0.5063,0.4927
53-053-072305-2,0,0,0,0.0000,0.0000,0.5063,0.4927
53-053-072305-1,0,0,0,0.0435,0.0000,0.5063,0.4927
53-053-071808-1,2,2,0,0.0536,0.0000,0.5063,0.4927
53-053-071803-2,145,144,37,0.2571,0.0058,0.5063,0.4927
53-053-071705-3,2,2,0,0.1005,0.0000,0.5063,0.4927
53-053-071705-1,14,14,1,0.1000,0.0002,0.5063,0.4927
53-053-071704-1,1,1,0,0.0164,0.0000,0.5063,0.4927
53-053-071703-2,13,13,4,0.2896,0.0006,0.5063,0.4927
53-053-071703-1,77,77,7,0.0967,0.0012,0.5063,0.4927
53-053-071602-3,1,1,0,0.0748,0.0000,0.5063,0.4927
53-053-071601-2,5,5,1,0.1197,0.0001,0.5063,0.4927
53-053-071601-1,22,22,1,0.0492,0.0002,0.5063,0.4927
53-053-063502-3,173,170,32,0.1876,0.0050,0.5063,0.4927
53-053-063502-2,226,226,36,0.1584,0.0056,0.5063,0.4927
53-053-063502-1,80,80,12,0.1557,0.0019,0.5063,0.4927
53-053-063501-4,113,113,9,0.0824,0.0014,0.5063,0.4927
53-053-063501-3,121,121,19,0.1609,0.0030,0.5063,0.4927
53-053-063501-2,161,161,24,0.1476,0.0037,0.5063,0.4927
53-053-063501-1,80,80,12,0.1527,0.0019,0.5063,0.4927
53-053-063400-6,79,79,12,0.1525,0.0019,0.5063,0.4927
53-053-063400-5,119,119,14,0.1148,0.0021,0.5063,0.4927
53-053-063400-4,119,119,23,0.1964,0.0037,0.5063,0.4927
53-053-063400-3,161,161,24,0.1491,0.0037,0.5063,0.4927
53-053-063400-2,236,236,62,0.2626,0.0097,0.5063,0.4927
53-053-063400-1,238,238,77,0.3228,0.0120,0.5063,0.4927
53-053-063300-5,112,112,17,0.1555,0.0027,0.5063,0.4927
53-053-063300-4,115,115,11,0.0918,0.0017,0.5063,0.4927
53-053-063300-3,143,143,21,0.1500,0.0033,0.5063,0.4927
53-053-063300-2,271,271,53,0.1952,0.0083,0.5063,0.4927
53-053-063300-1,183,183,74,0.4049,0.0116,0.5063,0.4927
53-053-063200-5,69,69,9,0.1283,0.0014,0.5063,0.4927
53-053-063200-4,94,94,13,0.1358,0.0020,0.5063,0.4927
53-053-063200-3,105,105,13,0.1233,0.0020,0.5063,0.4927
53-053-063200-2,169,169,30,0.1755,0.0046,0.5063,0.4927
53-053-063200-1,146,146,21,0.1465,0.0033,0.5063,0.4927
53-053-063100-4,285,265,79,0.2982,0.0123,0.5063,0.4927
53-053-063100-3,81,81,11,0.1328,0.0017,0.5063,0.4927
53-053-063100-2,140,140,16,0.1131,0.0025,0.5063,0.4927
53-053-063100-1,99,99,11,0.1155,0.0018,0.5063,0.4927
53-053-063000-2,328,328,41,0.1247,0.0064,0.5063,0.4927
53-053-063000-1,217,217,77,0.3550,0.0120,0.5063,0.4927
53-053-062900-6,197,197,40,0.2054,0.0063,0.5063,0.4927
53-053-062900-5,95,95,7,0.0716,0.0011,0.5063,0.4927
53-053-062900-4,109,109,12,0.1064,0.0018,0.5063,0.4927
53-053-062900-3,97,97,10,0.1061,0.0016,0.5063,0.4927
53-053-062900-2,145,145,47,0.3207,0.0073,0.5063,0.4927
53-053-062900-1,93,93,12,0.1251,0.0018,0.5063,0.4927
53-053-062802-3,270,270,31,0.1135,0.0048,0.5063,0.4927
53-053-062802-2,273,266,24,0.0888,0.0037,0.5063,0.4927
53-053-062802-1,194,194,43,0.2222,0.0067,0.5063,0.4927
53-053-062801-4,169,167,32,0.1890,0.0049,0.5063,0.4927
53-053-062801-3,436,434,58,0.1348,0.0091,0.5063,0.4927
53-053-062801-2,160,160,60,0.3742,0.0093,0.5063,0.4927
53-053-062801-1,169,166,27,0.1637,0.0043,0.5063,0.4927
53-053-062600-2,639,639,59,0.0922,0.0092,0.5063,0.4927
53-053-062600-1,"1,077","1,076",95,0.0880,0.0148,0.5063,0.4927
53-053-062500-7,111,111,15,0.1366,0.0024,0.5063,0.4927
53-053-062500-6,96,96,12,0.1227,0.0018,0.5063,0.4927
53-053-062500-5,145,145,17,0.1174,0.0027,0.5063,0.4927
53-053-062500-4,79,79,9,0.1093,0.0013,0.5063,0.4927
53-053-062500-3,81,81,10,0.1291,0.0016,0.5063,0.4927
53-053-062500-2,103,103,16,0.1538,0.0025,0.5063,0.4927
53-053-062500-1,102,102,15,0.1485,0.0024,0.5063,0.4927
53-053-062400-5,77,77,12,0.1494,0.0018,0.5063,0.4927
53-053-062400-4,107,107,16,0.1461,0.0025,0.5063,0.4927
53-053-062400-3,89,89,8,0.0959,0.0013,0.5063,0.4927
53-053-062400-2,105,105,18,0.1724,0.0028,0.5063,0.4927
53-053-062400-1,181,181,36,0.1994,0.0056,0.5063,0.4927
53-053-062300-4,139,139,17,0.1229,0.0027,0.5063,0.4927
53-053-062300-3,138,138,23,0.1665,0.0036,0.5063,0.4927
53-053-062300-2,164,164,28,0.1679,0.0043,0.5063,0.4927
53-053-062300-1,165,165,30,0.1799,0.0046,0.5063,0.4927
53-053-062000-4,203,203,50,0.2469,0.0078,0.5063,0.4927
53-053-062000-3,72,72,8,0.1099,0.0012,0.5063,0.4927
53-053-062000-2,154,154,25,0.1604,0.0039,0.5063,0.4927
53-053-062000-1,89,89,17,0.1958,0.0027,0.5063,0.4927
53-053-061900-2,148,148,23,0.1555,0.0036,0.5063,0.4927
53-053-061900-1,109,109,23,0.2104,0.0036,0.5063,0.4927
53-053-061800-3,136,135,13,0.0957,0.0020,0.5063,0.4927
53-053-061800-2,68,68,8,0.1189,0.0013,0.5063,0.4927
53-053-061800-1,137,137,17,0.1244,0.0027,0.5063,0.4927
53-053-061700-5,294,292,49,0.1689,0.0077,0.5063,0.4927
53-053-061700-4,86,86,17,0.1989,0.0027,0.5063,0.4927
53-053-061700-3,74,74,10,0.1303,0.0015,0.5063,0.4927
53-053-061700-2,75,75,10,0.1263,0.0015,0.5063,0.4927
53-053-061700-1,124,124,12,0.0946,0.0018,0.5063,0.4927
53-053-061602-1,261,261,17,0.0652,0.0027,0.5063,0.4927
53-053-061601-1,188,188,12,0.0640,0.0019,0.5063,0.4927
53-053-061500-4,71,71,10,0.1456,0.0016,0.5063,0.4927
53-053-061500-3,61,60,21,0.3465,0.0033,0.5063,0.4927
